,ESB Chiller Plant plantEfficiency,ESB_Chillers Demand,ESB_Chillers percentRefrigerationLoad,ESB_Chillers tonnage,Active_Chiller_Load_Percent Value,Primary_CHW_Flow Value,Building_Load Value,ESB_Chillers chillerEvapDifferentialPress,ESB_Chillers chillerCondDifferentialPress,ESB_Chillers chillerCondLeavingWaterTemp,ESB_Chillers chillerEvapEnteringWaterTemp,ESB_Chillers outdoorAirTemp,ESB_Chillers chillerEvapLeavingWaterTemp,ESB_Chillers chillerTotalKw,ESB_Chillers chillerCondEnteringWaterTemp,ESB_Chillers chillerEvapWaterFlow,time,anomaly,kmeans_labels,path_index,hour,pattern
12445,0.6908,197.33,45.97,367.78,46.11,1817.25,486.95,5.0507,10.86,83.59,47.14,76.69,42.13,204.1,76.05,1761.91,8/20/2021 0:00,FALSE,1,2,0,2_8_10_14
12446,0.6764,192.11,45.98,367.87,46,1804.59,486.3,5.0589,10.37,82.99,47.14,76.04,42.13,196.8,75.42,1762.32,8/20/2021 1:00,FALSE,0,2,1,2_8_10_14
12447,0.6647,187.26,45.89,367.15,43.6,1820.39,468.2,5.0593,10.13,82.49,47.14,75.52,42.13,190.1,75.02,1758.88,8/20/2021 2:00,FALSE,5,8,2,2_8_10_14
12448,0.6483,180.86,45.84,366.76,43.88,1820.37,472.06,5.0545,9.9661,81.94,47.14,75.22,42.13,187.5,74.48,1757,8/20/2021 3:00,FALSE,0,8,3,2_8_10_14
12449,0.651,181.27,45.73,365.84,44.58,1820.24,470.92,5.0547,9.963,81.77,47.11,74.91,42.13,187.6,74.33,1761.35,8/20/2021 4:00,FALSE,3,10,4,2_8_10_14
12450,0.6673,180.71,44.51,356.05,43.23,1818.91,465.87,5.0481,9.9996,81.76,46.99,74.73,42.13,191.6,74.33,1757.53,8/20/2021 5:00,FALSE,1,10,5,2_8_10_14
12451,0.6353,237.17,57.89,463.15,45.59,1818.18,483.08,5.0317,9.8046,84.39,48.42,74.52,42.13,252.6,75.3,1766.65,8/20/2021 6:00,FALSE,4,10,6,2_8_10_14
12452,0.6349,233.32,57.1,456.83,58.82,1818.31,590.1,5.0331,11.16,84.25,48.34,74.52,42.13,237.4,75.23,1764.24,8/20/2021 7:00,FALSE,3,10,7,2_8_10_14
12453,0.6335,236.79,57.95,463.57,57.24,1814.11,579.34,5.0307,12.37,84.67,48.44,75.51,42.13,243,75.6,1762.11,8/20/2021 8:00,FALSE,3,10,8,2_8_10_14
12454,0.6482,203.67,50.27,402.13,49.96,1819.92,521.51,5.0304,12.93,83.83,47.6,77.95,42.13,209.1,75.85,1763.03,8/20/2021 9:00,FALSE,1,10,9,2_8_10_14
12455,0.6739,209.95,49.5,396.01,50.95,1811.92,528.13,5.0388,13.21,84.48,47.53,80.1,42.13,215.1,76.33,1760.08,8/20/2021 10:00,FALSE,2,10,10,2_8_10_14
12456,0.6763,221.39,51.43,411.44,53.45,1826.62,549.63,5.0387,13.32,85.16,47.73,81.75,42.13,233.8,76.8,1763.07,8/20/2021 11:00,FALSE,2,10,11,2_8_10_14
12457,0.6944,228.64,51.34,410.7,51.28,1817.58,532.5,5.0391,13.4,86.01,47.73,85.8,42.13,238,77.47,1759.91,8/20/2021 12:00,FALSE,3,10,12,2_8_10_14
12458,0.7094,236.3,51.63,413.03,51.93,1824.56,540.55,5.0391,13.36,86.56,47.75,88.68,42.13,251.7,77.92,1762.04,8/20/2021 13:00,FALSE,1,10,13,2_8_10_14
12459,0.6737,235.43,54.2,433.61,53.16,1819.69,547.71,5.0389,13.31,86.81,48.03,85.47,42.13,248.9,78.2,1763.74,8/20/2021 14:00,FALSE,2,14,14,2_8_10_14
12460,0.7025,248.92,54.36,434.87,53.13,1819.9,550.12,5.0293,13.3,87.38,48.05,79.04,42.13,266.8,78.73,1761.42,8/20/2021 15:00,FALSE,2,14,15,2_8_10_14
12461,0.6868,242.7,54.47,435.72,56.41,1829.11,577.86,5.0293,13.17,86.91,47.83,79.1,41.9,260.9,78.34,1764.54,8/20/2021 16:00,FALSE,2,14,16,2_8_10_14
12462,0.7223,253.3,53.65,429.19,52.55,1826.07,555.93,5.0411,13.19,87.7,47.98,82.78,42.13,263.2,78.94,1761.42,8/20/2021 17:00,FALSE,2,14,17,2_8_10_14
12463,0.7043,235.73,51.87,414.98,56.88,1817.68,583.96,5.0421,13.04,86.52,47.78,84.06,42.13,269.7,78.06,1762.98,8/20/2021 18:00,FALSE,2,14,18,2_8_10_14
12464,0.6801,222.98,51.36,410.89,50.43,1810.24,526.35,5.0375,12.96,85.73,47.73,81.96,42.13,233,77.51,1761.12,8/20/2021 19:00,FALSE,2,14,19,2_8_10_14
12465,0.6771,226.24,52.26,418.09,50.16,1826.68,522.11,5.0351,13.05,85.7,47.73,81.21,42.03,241,77.46,1760.63,8/20/2021 20:00,FALSE,2,14,20,2_8_10_14
12466,0.7179,216.03,47.52,380.19,49.2,1810,509.83,5.0485,13.69,85.45,47.31,79.76,42.13,230.2,77.46,1763.38,8/20/2021 21:00,FALSE,3,14,21,2_8_10_14
12467,0.6973,213.09,48.37,386.92,47.42,1813.1,502.64,5.0569,12.79,85.15,47.41,78.62,42.13,220.4,77.11,1759.91,8/20/2021 22:00,FALSE,2,14,22,2_8_10_14
12468,0.6897,207.4,47.88,383.06,46.68,1827.01,495.04,5.0556,11.56,84.67,47.36,77.85,42.13,215.2,76.94,1758.9,8/20/2021 23:00,FALSE,0,14,23,2_8_10_14
12469,0.7143,209.18,46.54,372.28,48.36,1814.27,511.27,5.0527,10.8,84.57,47.21,77,42.13,218.3,76.74,1759.79,8/21/2021 0:00,FALSE,1,2,0,2_8_10_14
12470,0.6873,206.57,47.9,383.2,48.05,1814.32,502.58,5.0477,10.35,84.67,47.36,76.72,42.13,212.8,76.74,1759.52,8/21/2021 1:00,FALSE,0,2,1,2_8_10_14
12471,0.6777,203.58,48.04,384.34,45.74,1819.88,487.58,5.0545,9.9982,84.37,47.36,76.7,42.13,217.9,76.54,1764.61,8/21/2021 2:00,FALSE,5,8,2,2_8_10_14
12472,0.6858,196.98,46.27,370.17,45.36,1824.3,479.91,5.0509,9.7674,83.75,47.18,76.87,42.13,209.5,76.14,1757.91,8/21/2021 3:00,FALSE,0,8,3,2_8_10_14
12473,0.6812,200.36,47.22,377.74,47.33,1820.62,499.05,5.0521,9.6919,84.07,47.28,76.72,42.13,213.8,76.29,1759.73,8/21/2021 4:00,FALSE,3,10,4,2_8_10_14
12474,0.673,202.2,48.1,384.84,46.05,1812.37,486.84,5.0514,9.6001,84.25,47.38,75.77,42.13,210.8,76.39,1758.75,8/21/2021 5:00,FALSE,1,10,5,2_8_10_14
12475,0.6682,227.35,53.21,425.69,50.54,1823.83,528.91,5.0404,9.4193,85.34,47.93,74.6,42.13,239.9,76.81,1761.88,8/21/2021 6:00,FALSE,4,10,6,2_8_10_14
12476,0.6759,214.78,50.24,401.9,53.29,1815.44,544.6,5.0391,10.95,84.89,47.6,74.58,42.13,223.1,76.66,1762.74,8/21/2021 7:00,FALSE,3,10,7,2_8_10_14
12477,0.6661,209.42,50,400.01,50.82,1818.24,530.42,5.038,12.12,84.62,47.58,74.81,42.13,215.2,76.49,1763.13,8/21/2021 8:00,FALSE,3,10,8,2_8_10_14
12478,0.6783,208.55,48.92,391.33,51.07,1815.71,529.4,5.0221,12.66,84.31,47.45,74.86,42.13,216.3,76.34,1765.15,8/21/2021 9:00,FALSE,1,10,9,2_8_10_14
12479,0.6812,217.57,50.37,402.96,49.22,1806.76,514.08,5.0393,13.01,85.01,47.63,75.47,42.13,234.4,76.84,1759.77,8/21/2021 10:00,FALSE,2,10,10,2_8_10_14
12480,0.6691,208,49.47,395.8,51.18,1802.42,530.02,5.0367,13.12,84.52,47.53,75.6,42.13,222.8,76.44,1760.18,8/21/2021 11:00,FALSE,2,10,11,2_8_10_14
12481,0.6862,210,48.59,388.75,48.86,1815.3,513.34,5.0471,13.19,84.38,47.43,76.18,42.13,218.3,76.26,1761.17,8/21/2021 12:00,FALSE,3,10,12,2_8_10_14
12482,0.6814,208.47,48.64,389.09,50.02,1812.7,520.27,5.0355,13.24,84.47,47.43,80.51,42.13,220.1,76.49,1762.71,8/21/2021 13:00,FALSE,1,10,13,2_8_10_14
12483,0.6816,222.12,51.11,408.88,50.11,1820.6,525.26,5.0299,13.33,85.41,47.7,84.86,42.13,229.5,77.12,1760.92,8/21/2021 14:00,FALSE,2,14,14,2_8_10_14
12484,0.6505,210.78,51.4,411.19,50.02,1814.54,520.03,5.0358,13.22,84.48,47.73,82.39,42.13,218.1,76.37,1762.98,8/21/2021 15:00,FALSE,2,14,15,2_8_10_14
12485,0.6591,214.53,51.37,410.99,50.66,1826.59,530.56,5.0386,13.25,84.81,47.73,80.61,42.13,221.7,76.64,1762.11,8/21/2021 16:00,FALSE,2,14,16,2_8_10_14
12486,0.6915,214.44,49.03,392.23,52.01,1828.07,544.27,5.0291,13.27,84.91,47.48,80.02,42.13,229.4,76.74,1759.99,8/21/2021 17:00,FALSE,2,14,17,2_8_10_14
12487,0.675,214.53,50.26,402.07,49.96,1810.95,518.11,5.0238,13.3,85.13,47.61,78.23,42.13,222.1,77.04,1762.32,8/21/2021 18:00,FALSE,2,14,18,2_8_10_14
12488,0.6996,215.75,48.67,389.36,48.44,1818.58,516.6,5.0229,13.25,85.04,47.43,76.05,42.13,230.9,77.07,1762.83,8/21/2021 19:00,FALSE,2,14,19,2_8_10_14
12489,0.6952,213.9,48.67,389.37,50.15,1813.85,518.58,5.0413,13.24,85.07,47.43,75.5,42.13,221.6,77.09,1762.88,8/21/2021 20:00,FALSE,2,14,20,2_8_10_14
12490,0.7133,206.43,46.11,368.92,46.49,1821.94,489.25,5.0504,13.74,84.65,47.16,75.47,42.13,216,76.79,1761.17,8/21/2021 21:00,FALSE,3,14,21,2_8_10_14
12491,0.7002,208.36,47.39,379.13,49.56,1810.83,517.84,5.0473,13.04,84.87,47.3,75.7,42.13,216.5,77.04,1758.62,8/21/2021 22:00,FALSE,2,14,22,2_8_10_14
12492,0.6768,206.31,48.57,388.53,48.3,1814.2,511.1,5.037,11.92,84.72,47.43,75.47,42.13,216.1,76.92,1760.26,8/21/2021 23:00,FALSE,0,14,23,2_8_10_14
12493,0.6867,195.11,45.81,366.45,49.3,1811.39,512.6,5.0565,11.06,83.49,47.13,74.8,42.13,202,75.89,1759.35,8/22/2021 0:00,FALSE,1,2,0,2_8_10_14
12494,0.6874,195.38,45.84,366.73,45.63,1829.63,483.8,5.0455,10.62,83.29,47.13,74.54,42.13,203.2,75.54,1760.67,8/22/2021 1:00,FALSE,0,2,1,2_8_10_14
